Designator,Mid X,Mid Y,Layer,Rotation
"C1","205.4121mm","-83.9658mm","Top",270
"C2","171.2408mm","-81.078mm","Top",0
"C3","173.5408mm","-81.853mm","Top",270
"C4","178.8063mm","-89.5465mm","Top",180
"C5","178.4271mm","-133.9399mm","Top",180
"C6","214.0117mm","-134.1109mm","Top",0
"C7","211.6657mm","-133.2522mm","Top",90
"C8","204.2461mm","-144.1109mm","Top",180
"C9","97.3132mm","-36.7942mm","Top",0
"C10","114.7132mm","-83.4008mm","Top",0
"LED1","143.8025mm","-108.8459mm","Top",315
"LED2","140.7141mm","-108.8459mm","Top",315
"LED3","137.6258mm","-108.8459mm","Top",315
"LED4","134.5374mm","-108.8459mm","Top",315
"LED5","131.4491mm","-108.8459mm","Top",315
"LED6","128.3607mm","-108.8459mm","Top",315
"LED7","125.2724mm","-108.8459mm","Top",315
"LED8","122.184mm","-108.8459mm","Top",315
"LED9","95.3674mm","-110.6715mm","Top",0
"LED10","82.2706mm","-110.6715mm","Top",0
"LED11","76.0127mm","-110.6715mm","Top",0
"LED12","6.717mm","-124.2367mm","Top",0
"LED13","26.4088mm","-141.4627mm","Top",0
"LED14","7.6545mm","-94.6265mm","Top",0
"LED15","34.8939mm","-108.183mm","Top",0
"LED16","25.4713mm","-118.0374mm","Top",0
"R1","204.5871mm","-86.7408mm","Top",0
"R2","168.9408mm","-81.8495mm","Top",90
"R3","178.8563mm","-86.7408mm","Top",0
"R4","178.8564mm","-76.7408mm","Top",0
"R5","178.4771mm","-130.1109mm","Top",180
"R6","216.2657mm","-133.2859mm","Top",270
"R7","204.1961mm","-130.1109mm","Top",180
"R8","204.1961mm","-140.1109mm","Top",0
"R9","143.8821mm","-105.2106mm","Top",135
"R10","140.7937mm","-105.2106mm","Top",135
"R11","137.7054mm","-105.2106mm","Top",135
"R12","134.617mm","-105.2106mm","Top",135
"R13","131.5287mm","-105.2106mm","Top",135
"R14","128.4403mm","-105.2106mm","Top",135
"R15","125.352mm","-105.2106mm","Top",135
"R16","122.2636mm","-105.2106mm","Top",135
"R17","64.6636mm","-123.1035mm","Top",0
"R18","71.392mm","-122.1584mm","Top",0
"R19","52.7238mm","-133.9902mm","Top",0
"R20","18.1605mm","-134.8399mm","Top",0
"R21","66.6516mm","-122.1198mm","Top",0
"R22","64.1966mm","-110.6715mm","Top",0
"R23","68.8088mm","-122.6139mm","Top",0
"R24","56.0681mm","-124.9441mm","Top",0
"U1","171.2408mm","-74.5063mm","Top",90
"U2","192.0535mm","-80.4908mm","Top",0
"U3","192.0535mm","-136.3609mm","Top",180
"U4","213.9657mm","-141.2609mm","Top",270
"U5","157.9723mm","-93.9915mm","Top",0
"U6","155.2603mm","-111.3065mm","Top",0
